wavelength,nflux
853.1198,16645113907406.832
853.12,16646809556921.121
853.1202000000002,16648505204827.492
853.1204,16650200851125.988
853.1206,16651896495816.555
853.1208000000001,16653592138899.203
853.121,16655287780373.969
853.1211999999999,16656983420240.838
853.1214000000001,16656975542899.166
853.1216000000001,16658671180355.83
853.1218000000001,16660366816204.592
853.1220000000001,16660358937261.7
853.1222,16662054570700.291
853.1224000000001,16662046690958.457
853.1225999999998,16662038811219.945
853.1228,16662030931484.783
853.123,16662023051752.945
853.1232,16662015172024.451
853.1234000000001,16660303784754.838
853.1236000000001,16658592399099.799
853.1238000000002,16658584520992.541
853.1239999999999,16656873137761.021
853.1242000000001,16655161756144.055
853.1243999999999,16653450376141.658
853.1245999999999,16653442500464.59
853.1248,16653430595686.162
853.125,16651719219331.043
853.1252000000001,16653414844354.064
853.1254000000001,16653406968693.014
853.1256000000002,16655102591305.865
853.1258,16656798212310.83
853.126,16658493831707.91
853.1261999999999,16661892945350.83
853.1264,16663588560726.525
853.1265999999999,16665284174494.352
853.1268,16666979786654.287
853.1270000000001,16668675397206.344
853.1272000000001,16668667514324.832
853.1274000000001,16668659631446.646
853.1276,16666948258357.354
853.1278000000001,16666940376291.475
853.1279999999999,16665229005625.672
853.1282,16665221124372.064
853.1284,16665213243121.795
853.1286,16663501875688.436
853.1288000000001,16663493995250.447
853.1290000000001,16665189599391.021
853.1292000000002,16665181718154.111
853.1294,16665173836920.533
853.1296000000001,16666869437848.688
853.1297999999999,16666861555816.203
853.1299999999999,16668557154334.23
853.1302,16668545238761.592
853.1304000000001,16666833877412.326
853.1306000000001,16666825995395.844
853.1308000000001,16665114636470.05
853.1310000000002,16663403279158.805
853.1312,16661691923462.107
853.1314,16659980569379.943
853.1315999999999,16656565743222.08
853.1318,16653150920289.947
853.132,16651439572662.59
853.1322,16648024755376.332
853.1324000000001,16644609941315.793
853.1326000000001,16642898600143.256
853.1328000000001,16639483791728.576
853.133,16637772454590.693
853.1332000000001,16634357651821.885
853.1333999999999,16630942852278.807
853.1336,16629231521595.693
853.1338000000001,16625816727698.436
853.134,16624105401049.977
853.1342000000001,16622394076016.031
853.1344000000001,16620682752596.615
853.1346000000002,16618971430791.715
853.1348,16618963571402.02
853.1350000000001,16617252252020.56
853.1351999999999,16615540934253.633
853.1354,16613829618101.205
853.1356,16612118303563.312
853.1358000000001,16610402971986.508
853.1360000000001,16608691661092.428
853.1362000000001,16605276897063.473
853.1364000000001,16601862136260.207
853.1366,16596743925544.45
853.1368000000001,16593329171998.162
853.137,16588210970150.549
853.1372,16584796223861.258
853.1374,16579678030881.773
853.1376,16576263291849.416
853.1378000000001,16574552004347.42
853.1380000000001,16571137270960.826
853.1382000000002,16569425987493.404
853.1384,16569418151528.377
