T continuum;T continuum comment;T core;T core comment
0.0008439269750222841;;0.009248684683322728;
0.0005893700701174843;;0.012757784531383288;
0.0005347455140500931;;0.0019469792463407774;
0.0005735553475101311;;0.002906821390692247;
0.0024524495038172806;;0.012241620715653191;
0.0023502596419708453;;0.0030132906682979305;
0.002373798142751259;;0.007680073143270863;
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
;N/A;;N/A
